session_id,TooFast,WhiteBlackBIATGood,WhiteBlackBIATBad,WhiteAsianBIATGood,WhiteAsianBIATBad,WhiteHispanicBIATGood,WhiteHispanicBIATBad,BJWAgg,GBDAgg,PDAgg,SLBAgg,Conservatism,ExplicitPref,Age,CountryCit,Ethnicity,EthnicityBinary,Gender,Race,RaceMulti
8796998,0,-.00693934564053539,.756541107011636, , , , , ,1.625, ,2.58333333333333,2,0,29,74,2,2,1,6,.
8797021,0, , ,-.243093430339449,.759059427131072, , ,4.3, ,3.5, ,2,-3,19,1,2,2,2,2,.
8797022, , , , , , , , , , , ,6, ,56,1,2,2,2,6,.
8797032, , , , , , , , ,1.75, ,2.66666666666667,1,0,34,225,2,2,2,6,.
8797034,0, , ,-.169074709832876,-.281072980937755, , , ,3.125, ,3.16666666666667,3,0, ,1,2,2,1,3,.
8797042, , , , , , , , ,1.125, ,3.08333333333333,2,0,21,225,2,2,1,6,.
8797082,0, , , , ,-.161849961333291,.598879102607317, ,1.25, ,3.25,2,0,39,1,2,2,2,6,.
8797095, , , , , , , , , , , ,2, ,21,1,2,2,1,3,.
8797106, , , , , , , , , , , ,2, ,14,39,2,2,1,6,.
8797120,0,-.423397288776276,.251959568538441, , , , ,3.4, ,2.5, ,2,0,21,1,2,2,1,3,.
8797139,.984375, , , , , , , ,3.25, , ,6,0,9,75,2,2,1,2,.
8797150, , , , , , , ,4.15, ,2.5, ,7,1,25, ,2,2,2, ,.
8797152,0,-.0577441527230492,.537687960805912, , , , , ,1.25, ,1.83333333333333,2,0,27,1,2,2,2,5,.
8797161,0,.2939091039135,.0631614016572192, , , , , ,3.875, ,3.41666666666667,4,0,22,1,2,2,1,6,.
8797203,0, , , , ,.233407380195681,.703471302422224, , , , ,2, ,18,62,1,1,2,8,"""[5,6]"""
8797211,0,.395579855961763,.272824429909633, , , , , ,2.5, ,2.41666666666667,1,1,23,74,3,2,2,8,"""[5,6]"""
8797250,0,-.292699368019231,.523134151615834, , , , ,3.15, ,1, ,2,1,32,1,2,2,2,8,"""[5,6]"""
8797261,.03125,.0953514625258415,-.487573276072122, , , , , , ,1.66666666666667, ,1,0,25,1,2,2,2,6,.
8797273,0,-.42041037500934,-.559061976631947, , , , , ,1, ,2.91666666666667,2,0,25,39,2,2,2,6,.
8797331, , , , , , , ,2.55, ,1, ,2,1,32,1,2,2,2,8,"""[5,6]"""
8797333,0, , ,-.277121464920715,.250739332506459, , , ,1, ,1,1,0,39,1,2,2,1,6,.
8797336,0, , , , ,-1.00997980734111,.246207448878808,2.6, ,1.33333333333333, ,2,0,19,1,2,2,2,6,.
8797364, , , , , , , , , , , ,1, ,25, ,2,2,2,3,.
8797365,0, , ,-.335962435098128,.125201514350553, , ,3.95, ,1.83333333333333, ,6,-1,22,1,2,2,2,2,.
8797384,0, , ,-.680129570764738,-.00805745586237724, , , , ,4, ,4,0,27,1,2,2,1,2,.
8797436, , , , , , , , , , , ,3, ,21,1,2,2,2,6,.
8797437, , , , , , , , , , , ,3, ,34,1,1,1,5, ,.
8797438, , , , , , , , , , , ,1, ,49, ,3,2,2,6,.
8797439,0, , , ,-.273515757675213, , , , , , ,4, ,17,1,2,2,2, ,.
8797444,0,-.65295815068888,.470587074252359, , , , , ,1.75, ,1.33333333333333,4,1,27,74,2,2,2,6,.
8797445, , , , , , , , , ,3.5, ,2,0, ,1, , ,2, ,.
8797449,.078125, , , , ,-.418791280526814,.461698661726482, ,1.875, ,2.75,3,0,21,1,2,2,2,8,"""[6,7]"""
8797468,0,-.241534645068163,-.588047838982827, , , , ,3.25, ,4.16666666666667, ,4,0,17,1,2,2,2, ,.
8797473, , , , , , , , , , , , , , , , , , , ,.
8797477, , , , , , , , , , , ,2, ,21,1,2,2,2,6,.
8797511, , , , , , , , , , , ,4, ,18,1,1,1,2, ,.
8797521, , , , , , , ,4.2, ,3.16666666666667, ,4,-2,18,1,1,1,2, ,.
8797529,0, , , , ,.773218459972348,-.0805289381812323, ,3.875, ,3.75,4,0,16,1,1,1,2,6,.
8797581, , , , , , , , , ,1.83333333333333, ,5,0,51,2, , ,2,6,.
8797582, , , , , , , , , , , , , , , , , , , ,.
8797588,0,.624752345193019,.413467909837257, , , , ,3.8, ,3.33333333333333, ,4,0,27,1,2,2,1,6,.
8797595, , , , , , , , , , , ,1, ,21,1, , ,1,6,.
8797598,.0390625,.931208606530798,-.507008531230828, , , , ,4.4, ,3, ,6,0,21,1,2,2,2,6,.
8797600,0,-.775493881021117,.11587041622751, , , , , ,1.125, ,2.33333333333333,1,0,21,1,2,2,2,6,.
8797606,0, , ,.0919340298112198,.434189635846145, , ,3.25, ,2, ,1,0,21,1, , ,1,6,.
8797621,.46875, , , ,-.338366823297834, , , , , ,1.75,1,0,54,74,2,2,1,6,.
8797630,0, , , , ,.90949349106034,.416489895886856, ,4, ,3.83333333333333,3,0,20,1,2,2,2,6,.
8797637,.015625, , ,.611073905837699,.832724339886816, , , ,2.625, ,4.25,6,2,18,1,2,2,2,6,.
8797650,0, , ,-.65039855274862, , , , , , , ,4, ,20,1,2,2,1,6,.
8797653,0,-.325606880007449,.207930565645886, , , , , ,4.75, ,2.75,7, ,36,193,2,2,1,6,.
8797662, , , , , , , , , , , ,2, ,52,1,2,2,1,5,.
8797667, , , , , , , , ,1.125, ,1.91666666666667,2,2,22,1,2,2,2,6,.
8797681,0,-.781010410860268,.839209584583739, , , , ,4.45, ,2.5, ,2,0,52,1,2,2,1,5,.
8797682,0, , ,.296077878552424,.180120685128546, , , , , , ,4,0,20,1,2,2,1, ,.
8797693,0, , , , ,-.0565896231693053,.643556734704242, ,1.125, ,1.58333333333333,2,0,20,1,2,2,2,6,.
8797696,0, , , , ,-.209619653408062,.305829207178662, ,1.5, ,3.66666666666667,2,0,21,1,2,2,2,8,"""[1,5,6,7]"""
8797699,0, , , , ,-.123525937890659,1.00050894009825,4.25, ,2.16666666666667, ,4,0,51, , , ,2,8,[2]
8797704,0,-.974510714546971,-.497055845764682, , , , , ,1, ,3.25,1,0,65,1,2,2,2,6,.
8797708,0, , ,.420050064965368,-.273730628560576, , , ,2.375, ,2.58333333333333,5,0,25,1,2,2,1,6,.
8797714,.0234375, , , , ,.108923244221412,.369435009234566,4.15, ,3.33333333333333, ,2,0,19,1,2,2,2,8,"""[2,6]"""
8797721,.0078125, , , , ,.221303557127923,.526539272934251, , , , , , , , , , , , ,.
8797740, , , , , , , , , , , ,2, ,36,74,2,2,1,6,.
8797766,0, , , , ,-.772232823786235,.878406731400944, ,2.375, ,2.66666666666667,2,-1,27,197,2,2,1,6,.
8797772,.0078125,-.336341565611432,.531679126191927, , , , ,3.8, ,1.16666666666667, , ,0, , , , ,2,6,.
8797781,0,-.91556307852657,-.469064987351789, , , , ,2.4, ,1.16666666666667, ,2,0,23, ,2,2,1,6,.
8797785, , , , , , , , ,1.125, ,3.08333333333333,2,0,60,74,2,2,1,6,.
8797790,0, , , , ,-.181408555719566,-.270198231397946, ,1.875, , ,2,1,34,39,2,2,2,6,.
8797792, , , , , , , ,3.25, ,1, ,1,0,52,74,2,2,1,6,.
8797793,0, , ,-.448601798639361,.0138391296230764, , ,3.7, ,3.66666666666667, ,5,1,34,225,2,2,2,2,.
8797807, , , , , , , , , , , ,4, ,20,1,2,2,2,6,.
8797823,0,.706933581215018,.626741196711903, , , , ,4.35, ,2.16666666666667, ,4,1,27,1,2,2,1,6,.
8797824,0,-.539438019155447,.321919869463844, , , , , , ,2, ,4,0, ,1,2,2,2,6,.
8797829, , , , , , , ,4.3, ,1.16666666666667, ,3,0, ,74,2,2,1, ,.
8797831,0,.522369160530583,.668248004855184, , , , ,3.9, ,3, ,5,2,29,1,2,2,2,6,.
8797841,0,.685947339049106,.548778623211824, , , , , ,2.625, ,4.16666666666667,4,1,29,1,2,2,2,6,.
8797843, , , , , , , ,2.5, ,1.33333333333333, ,4,0,23,1,1,1,2,7,.
8797847,.0078125, , , , ,-.630179516400834,-1.12921850245646, ,1.125, ,1.75,4,0,55,1,2,2,2, ,.
8797864,.0078125, , ,.463653492410071,-.274752255443325, , , ,2.5, ,3.91666666666667,3,1,15,1,2,2,2,6,.
8797867, , , , , , , , , ,2.83333333333333, ,5,1,15,1,2,2,2,6,.
8797869,0,1.08875547494593,.628122090853565, , , , , ,1.5, ,4.16666666666667,4,0,18,1,2,2,2,6,.
8797875,.0078125, , ,-.170647672053463,.032015211894861, , , ,2.75, ,1.91666666666667,2,1,23,1, , ,2,2,.
8797887,0, , , , ,.601117399321221,.523053742645179, ,2.875, ,3.5,4,0,42,1,1,1,2,7,.
8797890,0,.431311734936349,.170349264497822, , , , , ,2.5, ,2.83333333333333,4,1,16,1,2,2,2,6,.
8797896,0, , ,.216567225384225,.997448427811028, , , ,1.625, ,1.83333333333333,2,0,24,1,2,2,1,6,.
8797897, , , , , , , , ,2, ,2.58333333333333,3,0,22,1,2,2,1,2,.
8797903,0, , ,-.406261210231419,-.542368952349381, , ,3.75, ,3.5, ,3,0,22,1,2,2,1,2,.
8797904,.0078125,-.247783055348862,.308036160552773, , , , , ,1.5, ,4.08333333333333,1,0,23,1,2,2,2,5,.
8797907, , , , , , , , , , , ,2, ,57,74,2,2,1,6,.
8797908, , , , , , , , , ,2.16666666666667, ,4,2,17,1,3,2,2,8,"""[5,6,7]"""
8797911,.0078125, , , , ,-.192191995538506,.946686751397843, ,2.625, ,3.25,5,1,21,1,2,2,2,6,.
8797913,0, , ,.296111610260808,-.00529598521509863, , , ,1.125, ,2.5,2,0,43,74,3,2,2,6,.
8797914,0, , , , ,.210040753659982,.460712877750932, ,2.125, ,1.08333333333333,1,0,16,1,2,2,2,6,.
8797922, , , , , , , , , , , ,4, ,25,39,2,2,2, ,.
8797936, , , , , , , ,4.55, ,2.66666666666667, ,7,1,31,1,2,2,1,6,.
8797960,0,-1.15482360162413,-.38644464985146, , , , ,2.95, ,1.5, ,1,0,21,1,2,2,2,6,.
8797996, , , , , , , , , , , ,2, ,41,14,2,2,2,6,.
8798010, , , , , , , , , , , ,3, ,24,192,2,2,1,3,.
8798033,0, , , , ,-.2556143683246,-.333043086693863, ,2.625, ,2.58333333333333,1,0,20,1,1,1,2,7,.
8798050, , , , , , , , , , , ,2, ,27,1,2,2,2,6,.
8798055, , , , , , , , , , , ,2, ,30,1,2,2,2,8,"""[6,7]"""
8798056,0, , , , ,.299237096393396,.552396483379664, , ,3, ,1,0,20,1,1,1,2,5,.
8798061,0,-.852257657144442,-.350372507189195, , , , , ,1, ,1.75,1,0,31,74,2,2,1,6,.
8798068, , , , , , , , , , , ,2, ,29,74,2,2,1,6,.
8798077, , , , , , , , , , , ,2, ,62,74,2,2,2,6,.
8798085,0, , ,-.314829257684236,.0481097631467926, , ,3.95, ,2.66666666666667, ,2,0,45,74,2,2,2,6,.
8798086,0, , , , ,.537958608935626,.0671967623737666, ,5.25, , ,5,2,28,98,1,1,1,6,.
8798105,0, , ,.12708836700593,.106840901080524, , , ,1, ,2,3,0,23,39,2,2,2,2,.
8798119, , , , , , , , , , , ,2, ,40,74,2,2,1,6,.
8798123,0,-.463630460177984,.168301028736646, , , , , ,1.875, ,3.58333333333333,1,0,37,74,2,2,1,6,.
8798129, , , , , , , , , , , ,2, ,46,74,2,2,2,6,.
8798132,0, , ,.279511343917501,.278999080726043, , ,5.1, ,2.16666666666667, ,2,0,35,124,2,2,1,6,.
8798137, , , , , , , , , , , ,1, ,30,1,2,2,2,6,.
8798141,0, , , , ,-.831655869721043,-.621957121250156, ,1.625, ,2,2,0,20,1,3,2,2,6,.
8798144,0, , ,.181575596636888,-.151541384670229, , ,3.15, ,1.16666666666667, ,2,0,39,74,2,2,2,6,.
8798153, , , , , , , , ,3.375, ,3.66666666666667,3,1, ,74,2,2,1,6,.
8798173, , , , , , , , ,1.125, , ,1, ,27,74,2,2,2,6,.
8798174,0,-.84987512409116,.0115106270921331, , , , ,3.55, ,2.5, ,3,0,38,74,2,2,2,6,.
8798175,0, , , , ,.279853307636327, , ,1.25, ,1.83333333333333,1,1,41,74,2,2,2,6,.
8798187,0, , , , ,-.0827840815419378,.831879859510895, ,2.25, ,2.83333333333333,2,0,21,1,1,1,2,7,.
8798190, , , , , , , , , , , ,2, ,58,59,2,2,2,6,.
8798197,0,.201336070559601,.161357966662257, , , , ,4.2, ,1.83333333333333, ,5,1,62,74,2,2,1,6,.
8798200,0, , ,.693953720262728,.627617242500682, , ,4.05, ,1.83333333333333, ,2,0,28,155,2,2,1,6,.
8798207, , , , , , , , , , , , , , , , , , , ,.
8798214, , , , , , , , , , , , , , ,225, , ,2, ,.
8798218, , , , , , , , , , , ,1, ,19,39,2,2,2,6,.
8798221,0,.471675975968023,.406705880328639, , , , , ,1.875, ,1.83333333333333,1,0,19,39,2,2,2,6,.
8798228, , , , , , , , , , , ,2, ,37,225,2,2,2,6,.
8798233,0, , ,-.485387485673428,.292405721982499, , ,3.6, ,1.66666666666667, ,2,0,37,225,2,2,2,6,.
8798248, , , , , , , , ,2.875, ,3.58333333333333,1,0, , ,3,2,2,7,.
8798254, , , , , , , , , , , ,4, ,44,74,2,2,1,6,.
8798264,0, , ,.470047876461849,.834963633387583, , , ,4.25, ,3.41666666666667,4,1,20,108,3,2,2,2,.
8798297,0,.168589884414803,-.253621629122567, , , , , ,2.375, ,2.66666666666667,2,1,50,74,2,2,2,6,.
8798313, , , , , , , , , ,3.66666666666667, ,4,0,23,192,3,2,2,7,.
8798314, , , , , , , , , , , ,2, ,32,58,2,2,2,6,.
8798330, , , , , , , ,3.95, ,2.16666666666667, ,2,1,23,74,2,2,1,6,.
8798334,0, , ,.0381826631769187,1.24226234423319, , ,4.1, ,1.5, ,5,0,39,85,2,2,1,6,.
8798337, , , , , , , ,4.2, ,2.33333333333333, ,2,0,40,74,2,2,2,6,.
8798353, , , , , , , , , , , ,1, ,43,74,3,2,1,6,.
8798360,0, , ,-.810783827985189,.526648859695911, , , ,2.125, ,1.5,1,0,47,74,2,2,2,6,.
8798366, , , , , , , , , , , ,1, , , , , ,2,6,.
8798376,0,.0666142381079127,1.00272155408271, , , , ,4, ,1, ,4,0,22,1,2,2,1,6,.
8798383,0, , , , ,.493139234958367,-.281640970492024, ,3.5, ,4.25,3,0,26,74,2,2,1,6,.
8798388, , , , , , , , , , , ,3, ,31,1,2,2,2,6,.
8798393,.015625, , , , ,.678357081237383,.075571126462348,3.4, ,2.83333333333333, ,2,0,18,1,1,1,1,8,"""[2,6,7]"""
8798404,0, , ,-.957660616212341,-.747039522911482, , ,5.4, ,1.33333333333333, ,1,-1,52,1,2,2,2,6,.
8798409, , , , , , , , , , , ,4, ,16,1, , ,2,6,.
8798412,.0234375,-.762687216313343,.268929638160305, , , , , ,3.25, ,3.75,4,0,16,1, , ,2,6,.
8798414,0,.149817716006868,.161850694903083, , , , , , , , ,4, ,17,1, , ,2,6,.
8798415, , , , , , , ,4.2, ,3, ,4,0,16,1,2,2,2,6,.
8798416, , , , , , , ,3.7, , , ,4, ,16,1,2,2,2,6,.
8798417, , , , , , , ,3.85, ,3.5, ,6,2,24,14,2,2,2,6,.
8798420, , , , , , , , , , , ,4, ,16,1, , ,2,6,.
8798427, , , , , , , , , , , ,4, ,16,1,2,2,1,6,.
8798429,0, , , , , ,-.300998426729738, , , , ,4, ,18,27,1,1,2,7,.
8798430, , , , , , , ,4.8, ,2.16666666666667, ,4,3,31,74,2,2,1,6,.
8798440,.8828125, , , , , , , , ,3, ,4,0,26,74,2,2,1,6,.
8798451, , , , , , , , , , , ,3, ,41,74,2,2,2,6,.
8798452,0, , , , ,-.433766689271122,.0707977361120837,3.55, ,2, ,1,0,33,1,2,2,2,6,.
8798454, , , , , , , , , , , , , , , , , , , ,.
8798461,0, , ,.739436019781757, , , , ,3.25, ,2.66666666666667,7,0,53,74,2,2,1,6,.
8798515,.015625,.111131239906538,.704808767736892, , , , , , ,2.33333333333333, ,6,0,20,1,2,2,2,8,"""[2,4,6]"""
8798517, , , , , , , ,4.05, ,1.83333333333333, ,2,0,56,74,3,2,2,6,.
8798526,0, , , , ,-.0642515734249707,.672999807535964, ,1, ,4.66666666666667,2,0,21,74,3,2,1,6,.
8798537, , , , , , , , , , , ,3, ,33,14,2,2,1,7,.
8798541, , , , , , , , , , , ,4, ,37,1,2,2,1,6,.
8798550,0,.824281174262539,.33769250324462, , , , , ,3, ,4.08333333333333,6,2,25,1,2,2,1,6,.
8798553,0,.222769635440905,.155682870025906, , , , , ,3.125, ,3.41666666666667,5,2,21,74,2,2,2,6,.
8798559, , , , , , , , , , , ,4, ,20,1,2,2,2,6,.
8798560, , , , , , , , , , , ,1, ,15,39,2,2,4,6,.
8798582, , , , , , , , , , , ,4, ,18,225,2,2,1,6,.
8798596, , , , , , , , , , , ,2, ,40,1,2,2,2,8,"""[5,6]"""
8798600, , , , , , , , , , , ,3, ,20,1,2,2,2, ,.
8798619,0, , , , ,.133936474834201,.136003884065287,4.15, ,2.33333333333333, ,4,0,53,1, , ,2, ,.
8798623, , , , , , , , , , , ,4, ,18,1, , ,1,6,.
8798624, , , , , , , , , , , ,4, ,18,1,2,2,1,6,.
8798625, , , , , , , , , , , ,4, ,18,100,2,2,1,7,.
8798631, , , , , , , , , , , , , ,53,1,3,2,2,6,.
8798636,.00806451612903226,-.183782471071734,-.409894856235455, , , , , ,1.625, ,4.41666666666667, ,0, ,1,3,2,2,6,.
8798642, , , , , , , , , , , ,1, ,29,39,2,2,2,6,.
8798674,0, , , , ,-.523470593590487,.945397683915798, ,1.875, ,1.58333333333333,2,0,38,1,2,2,2,6,.
8798711, , , , , , , , , , , ,1, ,54,1,2,2,2,6,.
8798718, , , , , , , , , ,3, ,4,1,18,1,2,2,2,6,.
8798742,0, , ,-.163276007342794,.544284481249091, , , , , , ,4,0,47,39,2,2,2,6,.
8798768, , , , , , , , , , , ,3, ,19,164,3,2,1,2,.
8798771, , , , , , , , , , , ,5, ,31,74,2,2,2,6,.
8798778, , , , , , , , , , , ,4,0,17,1, , ,1,4,.
8798785, , , , , , , , , , , ,7, , , ,3,2,1, ,.
8798819,.015625,.421637340272106,.173792129939702, , , , , ,2, , ,4,0,20,1,2,2,2,6,.
8798850,0, , ,.367622669543763,.409886234735785, , , ,1.125, ,2.08333333333333,2,0,18,1,2,2,2,6,.
8798907,.0078125,.000318702107672,.558685226721193, , , , , ,4, ,4.25,4,0,17,1, , ,2,5,.
8798917,0, ,-.455287828503062, , , , , , , , ,2, ,16,1,2,2,2,5,.
8798925,0, , ,-.760295204734496,.22623349359526, , , , , , ,2, ,18,1,2,2,2,6,.
8798926,0,.110624135360951, , , , , , ,1.625, ,2.5,2,-2,15,1,2,2,2,5,.
8798927,0, , , , ,-.568681190391766,-.0207803849533748,4.7, ,1.66666666666667, ,4,0,25,1,2,2,1,6,.
8798936, , , , , , , , , , , ,4, ,19,164,3,2,1,2,.
8798976,0, , ,-.41981462235896,.99496578528387, , ,3.85, ,3.66666666666667, ,4,-2,19,164,3,2,1,2,.
8798978,0, , ,.244324425003062,-.188575642368187, , ,3.85, ,2.5, ,2,1,35,1,2,2,2,6,.
8798981,0, , , , ,-.0856910289281144,.0776954421933396,5.25, ,4.16666666666667, ,7,1,49,74,2,2,1,6,.
8798992,0, , , , ,.384622297478871, , , , , ,4, ,18,1,2,2,2,6,.
8798999,0, , ,-.286273286288426,1.25840552198411, , ,4.75, ,4.83333333333333, ,6,0,54,1,2,2,1,6,.
8799000,0, , , , ,.312781773233611,.819537124289879,4.25, ,2.33333333333333, ,3,0,23,39,2,2,2,6,.
8799009, , , , , , , , , , , ,1, ,28,1,2,2,2,6,.
8799024, , , , , , , , , , , , ,0,30,1,2,2,2,6,.
8799053,0,.154778191450751,.252123261684543, , , , , ,1, ,1.75,2,0,63,1,2,2,2,5,.
8799059,0, , ,.180652646643641,.231114872804748, , , , ,4.33333333333333, ,6, ,34,1,2,2,1,6,.
8799096, , , , , , , , , , , , , ,18,1,1,1,2,8,[7]
8799097,0, , , , ,.255295029145871,-.131810807615752, ,2.875, ,4.16666666666667,4,0,25,100,3,2,1,3,.
8799103,0,-.273239199736675,.135837463392407, , , , ,2.7, ,1.66666666666667, ,2,0,27,39,2,2,1,6,.
8799120,0, , , , ,.278307345012959,.147470603750622, ,2.5, ,1.91666666666667,2,0,41,1,2,2,2,6,.
8799141, , , , , , , , , , , ,2, ,49, ,2,2,2,6,.
8799142, , , , , , , , , , , ,7, , ,1, , ,2, ,.
8799144,0, , ,-.295948864315927,.745419849540067, , ,3.55, , , ,3,1,49,1,2,2,2,6,.
8799157,0, , , , ,.31854214495514,.0029623949780102,3.8, ,2.16666666666667, ,2,0,41,1,2,2,2,6,.
8799159, , , , , , , , , , , , , ,21,1,1,1,2,7,.
8799229,0,-.16963778696977,.179633210490313, , , , ,4.4, ,2.66666666666667, ,4,0,23,1,2,2,2,5,.
8799235, , , , , , , , , , , ,2, ,53,1,2,2,2,5,.
8799255, , , , , , , , , , , ,3, ,60,1,2,2,2,6,.
8799265,0, , ,.320635411492402,-.593691482897992, , , , ,1, ,1,0,54,1,2,2,2,6,.
8799272, , , , , , , , , , , ,4, ,29,1,2,2,2,6,.
8799273, , , , , , , , ,1.125, ,4.66666666666667,3,0,27,1,1,1,2,8,[6]
8799284, , , , , , , , , ,2.66666666666667, ,6,0, ,225,2,2,1,6,.
8799288, , , , , , , , , , , ,6, ,16,1,2,2,2,6,.
8799302,.2890625, , , , ,1.19155218694672,1.07408498254754, ,6.375, , ,7,3,16,39,3,2,2,7,.
8799304, , , , , , , , , , , ,3, ,26,1,1,1,1,7,.
8799314,0, , , , ,-.522217878464734,.180289459968382,4.35, ,2.33333333333333, ,6,0,16,225,2,2,1,6,.
8799317,0, , ,.31699301696683,.476107231991451, , , ,1, ,2.25,2,0,25,1,2,2,2,6,.
8799318,0, , , , ,-.42023422247143,.0319418340365606, , , , ,4,0,26, ,1,1,1, ,.
8799322, , , , , , , , ,2.125, ,1,1,-3,63,1,1,1,2,8,"""[1,7]"""
8799326,.0078125, , , , ,.193182143343963,.410437324820121, ,1, ,2,4,0,28,1,2,2,2,6,.
8799331,0, , , , ,.0748074998824408,.844266249352034,2.55, ,4, ,4,0,54,1, , ,2, ,.
8799366,0,-.266009143717929,-.034414586686186, , , , ,3.4, ,2, ,2,0,33,74,2,2,2,6,.
8799384, , , , , , , , ,2.5, ,1.41666666666667,1,-3,63,1,1,1,2,7,.
8799393, , , , , , , , ,2, ,3.16666666666667,2,0,38,1,2,2,2,6,.
8799408, , , , , , , , , , , ,1, ,21,1,2,2,2,6,.
8799425,0,-.651780961751545,.352836186449707, , , , , ,1.75, , ,1,0,54, ,2,2,2,6,.
8799431,0, , , , ,-.659327482672033,.186498516772588, ,2.625, , ,6,0,18,1,1,1,2,8,"""[5,6,7]"""
8799435, , , , , , , ,3.35, ,4, ,4,1,16,1,2,2,1,6,.
8799439,0, , , , ,.126329781228718, , , , , ,3, ,26,1,2,2,2,6,.
8799447,0,-.158904684534498,.633081311816158, , , , ,3.85, ,2.5, ,5,0,28,74,2,2,2,6,.
8799475,0,.0667795814429774,.223002126259791, , , , , ,2.25, ,3,1, ,19,1,2,2,1,5,.
8799486,.0078125, , , , ,.0960365382824255,.6081176665792,4.6, ,3.16666666666667, ,2,2,21,1,2,2,1,8,"""[2,6]"""
8799504,0,.323688054420683,.139528826099628, , , , , , ,1, ,1,0,54,1,2,2,2,6,.
8799549,0, , , , ,-.691587035045343,.193508906623746, ,1.5, ,1.58333333333333,2,-1,35,74, , ,2,6,.
8799557,0, , , , ,.297696238943912,.475557959192035,2.65, ,1.16666666666667, ,2,0,37,1,1,1,1,8,[7]
8799642, , , , , , , , , , , ,2, ,18,1,2,2,1,8,"""[5,6]"""
