block_number, block_name, block_trial_count, block_pairing_definition, study_name, task_number, task_name, trial_number, trial_name, trial_response, trial_latency, trial_error, session_id 
3,Celebrities|,20,Non-Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,46,celebrity3.jpg|,left,769,0,9380195
3,Bad Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,47,Terrible|,left,1078,0,9380195
3,Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,48,celebrity1.jpg|,left,985,1,9380195
3,Bad Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,49,Awful|,left,1207,0,9380195
3,Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,50,celebrity4.jpg|,left,1163,0,9380195
3,Bad Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,51,Unpleasant|,left,774,0,9380195
3,Non-Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,52,noncelebrity3.jpg|,right,811,0,9380195
3,Good Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,53,Love|,right,610,0,9380195
3,Non-Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,54,noncelebrity1.jpg|,right,730,0,9380195
3,Good Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,55,Pleasant|,right,730,0,9380195
3,Non-Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,56,noncelebrity1.jpg|,right,540,0,9380195
3,Good Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,57,Great|,right,680,0,9380195
3,Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,58,celebrity3.jpg|,left,757,0,9380195
3,Bad Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,59,Hate|,left,884,0,9380195
3,Non-Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,60,noncelebrity4.jpg|,right,847,0,9380195
3,Good Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,61,Wonderful|,right,707,0,9380195
3,Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,62,celebrity1.jpg|,left,723,0,9380195
1,Celebrities|,20,Non-Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,1,celebrity1.jpg|,left,951,0,9380195
1,Non-Celebrities|,20,Non-Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,2,noncelebrity3.jpg|,right,1387,0,9380195
1,Non-Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,6,noncelebrity1.jpg|,right,892,0,9380195
1,Non-Celebrities|,20,Non-Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,3,noncelebrity2.jpg|,right,885,0,9380195
1,Celebrities|,20,Non-Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,4,celebrity2.jpg|,left,791,0,9380195
1,Good Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,5,Love|,right,1636,0,9380195
1,Bad Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,7,Hate|,left,814,0,9380195
1,Non-Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,8,noncelebrity4.jpg|,right,1408,0,9380195
1,Good Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,9,Pleasant|,right,1278,1,9380195
1,Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,10,celebrity3.jpg|,left,974,0,9380195
1,Bad Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,11,Unpleasant|,left,961,0,9380195
1,Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,12,celebrity4.jpg|,left,836,0,9380195
1,Good Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,13,Wonderful|,right,1946,1,9380195
1,Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,14,celebrity1.jpg|,left,1872,0,9380195
1,Good Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,15,Great|,right,1075,0,9380195
1,Non-Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,16,noncelebrity1.jpg|,right,876,0,9380195
1,Bad Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,17,Terrible|,left,1004,0,9380195
1,Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,18,celebrity2.jpg|,left,1127,0,9380195
1,Bad Words|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,19,Awful|,left,941,0,9380195
1,Non-Celebrities|,20,Non-Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,20,noncelebrity4.jpg|,right,618,0,9380195
4,Non-Celebrities|,20,Non-Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,64,noncelebrity4.jpg|,right,2033,0,9380195
4,Celebrities|,20,Non-Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,65,celebrity1.jpg|,left,778,0,9380195
4,Non-Celebrities|,20,Non-Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,66,noncelebrity2.jpg|,right,816,0,9380195
4,Celebrities|,20,Non-Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,67,celebrity4.jpg|,left,1503,0,9380195
4,Bad Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,68,Terrible|,right,1324,0,9380195
4,Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,69,celebrity3.jpg|,left,913,0,9380195
4,Good Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,70,Pleasant|,left,945,0,9380195
4,Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,71,celebrity4.jpg|,left,750,0,9380195
4,Good Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,72,Great|,left,902,0,9380195
4,Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,73,celebrity1.jpg|,left,737,0,9380195
4,Good Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,74,Wonderful|,left,764,0,9380195
4,Non-Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,75,noncelebrity1.jpg|,right,564,0,9380195
4,Bad Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,76,Hate|,right,705,0,9380195
4,Non-Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,77,noncelebrity2.jpg|,right,759,0,9380195
4,Bad Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,78,Unpleasant|,right,809,0,9380195
4,Non-Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,79,noncelebrity3.jpg|,right,885,0,9380195
4,Bad Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,80,Awful|,right,856,0,9380195
4,Non-Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,81,noncelebrity4.jpg|,right,843,0,9380195
4,Good Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,82,Love|,left,692,0,9380195
4,Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,83,celebrity2.jpg|,left,793,0,9380195
1,Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,1,celebrity2.jpg|,right,1868,0,9380195
1,Non-Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,2,noncelebrity4.jpg|,left,808,0,9380195
1,Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,3,celebrity3.jpg|,right,733,0,9380195
1,Non-Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,4,noncelebrity3.jpg|,left,1633,0,9380195
1,Good Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,5,Pleasant|,left,6261,1,9380195
1,Non-Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,6,noncelebrity1.jpg|,left,1224,0,9380195
1,Good Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,7,Wonderful|,left,2022,1,9380195
1,Non-Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,8,noncelebrity2.jpg|,left,4116,0,9380195
1,Good Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,9,Great|,left,1016,0,9380195
1,Non-Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,10,noncelebrity1.jpg|,left,872,0,9380195
1,Bad Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,11,Hate|,right,678,0,9380195
1,Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,12,celebrity4.jpg|,right,853,0,9380195
1,Good Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,13,Love|,left,1003,0,9380195
1,Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,14,celebrity1.jpg|,right,1062,0,9380195
1,Bad Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,15,Awful|,right,2113,1,9380195
1,Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,16,celebrity3.jpg|,right,1699,0,9380195
1,Bad Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,17,Unpleasant|,right,1019,0,9380195
1,Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,18,celebrity2.jpg|,right,903,0,9380195
1,Bad Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,19,Terrible|,right,1250,0,9380195
3,Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,44,celebrity3.jpg|,right,587,0,9380195
1,Non-Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,20,noncelebrity3.jpg|,left,999,0,9380195
3,Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,46,celebrity1.jpg|,right,872,0,9380195
3,Non-Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,43,noncelebrity2.jpg|,left,938,0,9380195
3,Non-Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,45,noncelebrity3.jpg|,left,914,0,9380195
3,Good Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,47,Pleasant|,left,993,0,9380195
3,Non-Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,48,noncelebrity1.jpg|,left,935,0,9380195
3,Bad Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,49,Hate|,right,985,0,9380195
3,Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,50,celebrity2.jpg|,right,863,0,9380195
3,Bad Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,51,Terrible|,right,634,0,9380195
3,Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,52,celebrity4.jpg|,right,1840,0,9380195
3,Bad Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,53,Awful|,right,1188,0,9380195
3,Non-Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,54,noncelebrity4.jpg|,left,678,0,9380195
3,Good Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,55,Wonderful|,left,1230,0,9380195
2,Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,22,celebrity3.jpg|,right,1064,0,9380195
2,Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,23,celebrity4.jpg|,right,736,0,9380195
2,Non-Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,24,noncelebrity2.jpg|,left,743,0,9380195
2,Non-Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,25,noncelebrity3.jpg|,left,676,0,9380195
2,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,26,Awful|,left,1074,0,9380195
2,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,27,noncelebrity1.jpg|,left,671,0,9380195
2,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,28,Wonderful|,right,579,0,9380195
2,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,29,noncelebrity4.jpg|,left,682,0,9380195
2,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,30,Hate|,left,1214,0,9380195
2,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,31,celebrity1.jpg|,right,584,0,9380195
2,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,32,Love|,right,550,0,9380195
2,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,33,noncelebrity3.jpg|,left,567,0,9380195
2,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,34,Pleasant|,right,962,0,9380195
2,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,35,celebrity3.jpg|,right,640,0,9380195
2,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,36,Unpleasant|,left,616,0,9380195
2,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,37,celebrity2.jpg|,right,824,0,9380195
2,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,38,Terrible|,left,826,0,9380195
2,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,39,celebrity4.jpg|,right,728,0,9380195
2,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,40,Great|,right,653,0,9380195
2,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,41,noncelebrity2.jpg|,left,536,0,9380195
2,Celebrities|,20,Non-Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,22,celebrity1.jpg|,left,1112,0,9380195
2,Non-Celebrities|,20,Non-Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,23,noncelebrity4.jpg|,right,846,0,9380195
2,Celebrities|,20,Non-Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,24,celebrity4.jpg|,left,1110,1,9380195
2,Non-Celebrities|,20,Non-Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,25,noncelebrity2.jpg|,right,1024,0,9380195
2,Bad Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,26,Hate|,right,1652,0,9380195
2,Non-Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,27,noncelebrity4.jpg|,right,1354,1,9380195
2,Bad Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,28,Terrible|,right,800,0,9380195
2,Non-Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,29,noncelebrity2.jpg|,right,703,0,9380195
2,Good Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,30,Love|,left,1007,0,9380195
2,Non-Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,31,noncelebrity1.jpg|,right,822,0,9380195
2,Bad Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,32,Awful|,right,1295,0,9380195
2,Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,33,celebrity1.jpg|,left,2530,0,9380195
2,Bad Words|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,34,Unpleasant|,right,1148,0,9380195
2,Celebrities|,20,Non-Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,35,celebrity4.jpg|,left,1285,0,9380195
3,Non-Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,43,noncelebrity2.jpg|,left,969,0,9380247
3,Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,44,celebrity3.jpg|,right,507,0,9380247
3,Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,45,celebrity4.jpg|,right,667,0,9380247
3,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,49,Pleasant|,right,508,0,9380247
3,Non-Celebrities|,20,Celebrities/Good Words_practice,jaxt.biatgbcelebrity,6,biatcelebritygood,46,noncelebrity1.jpg|,left,787,1,9380247
3,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,47,Great|,right,492,0,9380247
3,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,48,noncelebrity3.jpg|,left,620,0,9380247
3,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,50,celebrity2.jpg|,right,484,0,9380247
3,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,51,Awful|,left,492,0,9380247
3,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,52,noncelebrity4.jpg|,left,756,0,9380247
3,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,53,Wonderful|,right,548,0,9380247
3,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,54,celebrity1.jpg|,right,475,0,9380247
3,Good Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,55,Love|,right,515,0,9380247
3,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,56,noncelebrity3.jpg|,left,691,1,9380247
3,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,57,Hate|,left,1051,1,9380247
3,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,58,celebrity1.jpg|,right,548,0,9380247
3,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,59,Terrible|,left,1011,0,9380247
3,Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,60,celebrity3.jpg|,right,604,0,9380247
3,Bad Words|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,61,Unpleasant|,left,876,0,9380247
3,Non-Celebrities|,20,Celebrities/Good Words,jaxt.biatgbcelebrity,6,biatcelebritygood,62,noncelebrity4.jpg|,left,747,1,9380247
1,Non-Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,1,noncelebrity3.jpg|,left,1735,1,9380247
1,Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,2,celebrity3.jpg|,right,2054,0,9380247
1,Non-Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,3,noncelebrity4.jpg|,left,793,0,9380247
1,Celebrities|,20,Celebrities/Bad Words_practice,jaxt.biatgbcelebrity,4,biatcelebritybad,4,celebrity2.jpg|,right,647,0,9380247
1,Good Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,5,Wonderful|,left,1104,1,9380247
1,Non-Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,6,noncelebrity2.jpg|,left,841,0,9380247
1,Good Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,7,Great|,left,1176,0,9380247
1,Non-Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,8,noncelebrity1.jpg|,left,754,0,9380247
1,Bad Words|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,9,Awful|,right,1232,1,9380247
1,Celebrities|,20,Celebrities/Bad Words,jaxt.biatgbcelebrity,4,biatcelebritybad,10,celebrity1.jpg|,right,889,0,9380247
